__time,/foil_consigne/servo_aileron_left,/foil_consigne/servo_aileron_right,/foil_consigne/servo_foil,/foil_consigne/servo_gouvernail,/foil_consigne/thruster
1707317347.232765,2.440385818,-0.508360982,-1.474373341,0.000000000,40.000000000
1707317347.332619,2.439905167,-0.507464707,-1.473684907,0.000000000,40.000000000
1707317347.432726,2.439005136,-0.508576453,-1.473790765,0.000000000,40.000000000
1707317347.532943,2.436591864,-0.511716843,-1.474154353,0.000000000,40.000000000
1707317347.632677,2.435247421,-0.513509154,-1.474378347,0.000000000,40.000000000
1707317347.732697,2.434751272,-0.516307712,-1.475529432,0.000000000,40.000000000
1707317347.832742,2.434964418,-0.516217113,-1.475590706,0.000000000,40.000000000
1707317347.932785,2.435696840,-0.514628768,-1.475162745,0.000000000,40.000000000
1707317348.032684,2.436041594,-0.512885809,-1.474463701,0.000000000,40.000000000
1707317348.132662,2.437685490,-0.509942830,-1.473814130,0.000000000,40.000000000
1707317348.232718,2.437986135,-0.508210719,-1.473098397,0.000000000,40.000000000
1707317348.332607,2.437407017,-0.509124935,-1.473266006,0.000000000,40.000000000
1707317348.432546,2.435183764,-0.508902609,-1.472043157,0.000000000,40.000000000
1707317348.532503,2.431932926,-0.511613190,-1.471773148,0.000000000,40.000000000
1707317348.632664,2.430066109,-0.511283338,-1.470674753,0.000000000,40.000000000
1707317348.732548,2.428263664,-0.511067986,-1.469665885,0.000000000,40.000000000
1707317348.832522,2.428514719,-0.511837244,-1.470175982,0.000000000,40.000000000
1707317348.932509,2.430322886,-0.512620449,-1.471471667,0.000000000,40.000000000
1707317349.032479,2.429436207,-0.511462331,-1.470449209,0.000000000,40.000000000
1707317349.132501,2.431237698,-0.511090577,-1.471164227,0.000000000,40.000000000
1707317349.232726,2.430593967,-0.511913478,-1.471253753,0.000000000,40.000000000
1707317349.332462,2.428007603,-0.513250947,-1.470629334,0.000000000,40.000000000
1707317349.432797,2.425783634,-0.513271809,-1.469527721,0.000000000,40.000000000
1707317349.532735,2.423450232,-0.514328897,-1.468889594,0.000000000,40.000000000
1707317349.632352,2.426266432,-0.512151897,-1.469209194,0.000000000,40.000000000
1707317349.732355,2.425384521,-0.512959540,-1.469172120,0.000000000,40.000000000
1707317349.832294,2.423547506,-0.512882113,-1.468214869,0.000000000,40.000000000
1707317349.932369,2.424442768,-0.511329055,-1.467885971,0.000000000,40.000000000
1707317350.032352,2.423900843,-0.513342440,-1.468621612,0.000000000,40.000000000
1707317350.132491,2.423479795,-0.512644410,-1.468062043,0.000000000,40.000000000
1707317350.232636,2.422634363,-0.513558209,-1.468096256,0.000000000,40.000000000
1707317350.332325,2.422872305,-0.512880921,-1.467876554,0.000000000,40.000000000
1707317350.432297,2.424097300,-0.512493074,-1.468295217,0.000000000,40.000000000
1707317350.532331,2.424915314,-0.512699604,-1.468807459,0.000000000,40.000000000
1707317350.632124,2.425022840,-0.511736214,-1.468379498,0.000000000,40.000000000
1707317350.732183,2.422749996,-0.513501465,-1.468125701,0.000000000,40.000000000
1707317350.832268,2.422369957,-0.513967931,-1.468168855,0.000000000,40.000000000
1707317350.932155,2.421120644,-0.515308797,-1.468214631,0.000000000,40.000000000
1707317351.032072,2.421477318,-0.516403556,-1.468940496,0.000000000,40.000000000
1707317351.132010,2.422342539,-0.515116632,-1.468729496,0.000000000,40.000000000
1707317351.232169,2.422587395,-0.514238477,-1.468412876,0.000000000,40.000000000
1707317351.331986,2.424164295,-0.512333095,-1.468248606,0.000000000,40.000000000
1707317351.431955,2.424503803,-0.513388991,-1.468946338,0.000000000,40.000000000
1707317351.532191,2.423550844,-0.515837908,-1.469694376,0.000000000,40.000000000
1707317351.631941,2.423985720,-0.516439736,-1.470212698,0.000000000,40.000000000
1707317351.732181,2.423628569,-0.517502666,-1.470565677,0.000000000,40.000000000
1707317351.832142,2.423834801,-0.517473042,-1.470654011,0.000000000,40.000000000
1707317351.932122,2.423545122,-0.518594801,-1.471069932,0.000000000,40.000000000
1707317352.032053,2.423543453,-0.517912447,-1.470728040,0.000000000,40.000000000
1707317352.132077,2.423653126,-0.517633915,-1.470643520,0.000000000,40.000000000
1707317352.231877,2.424215317,-0.518069506,-1.471142411,0.000000000,40.000000000
1707317352.331909,2.424641371,-0.515964091,-1.470302701,0.000000000,40.000000000
1707317352.431890,2.424921274,-0.515674710,-1.470298052,0.000000000,40.000000000
1707317352.531983,2.424675703,-0.514710784,-1.469693303,0.000000000,40.000000000
1707317352.631880,2.424454451,-0.514516234,-1.469485283,0.000000000,40.000000000
1707317352.731981,2.424807549,-0.515063584,-1.469935656,0.000000000,40.000000000
1707317352.831896,2.424841166,-0.514615715,-1.469728351,0.000000000,40.000000000
1707317352.931952,2.423896551,-0.514601648,-1.469249010,0.000000000,40.000000000
1707317353.031723,2.421823025,-0.515336275,-1.468579650,0.000000000,40.000000000
1707317353.131758,2.423460484,-0.514300048,-1.468880296,0.000000000,40.000000000
1707317353.231806,2.424120665,-0.513079286,-1.468599916,0.000000000,40.000000000
1707317353.331738,2.424429655,-0.513087869,-1.468758702,0.000000000,40.000000000
1707317353.431867,2.422871828,-0.514232099,-1.468551993,0.000000000,40.000000000
1707317353.532114,2.421454430,-0.513469160,-1.467461824,0.000000000,40.000000000
1707317353.631812,2.420768976,-0.513653040,-1.467211008,0.000000000,40.000000000
1707317353.731863,2.420967340,-0.514510155,-1.467738748,0.000000000,40.000000000
1707317353.831753,2.420769453,-0.514427185,-1.467598319,0.000000000,40.000000000
1707317353.931813,2.420903206,-0.515283167,-1.468093157,0.000000000,40.000000000
1707317354.031633,2.421211958,-0.515582323,-1.468397260,0.000000000,40.000000000
1707317354.131729,2.421193361,-0.516759515,-1.468976498,0.000000000,40.000000000
1707317354.231598,2.428982258,-0.509550869,-1.469266653,0.000000000,40.000000000
1707317354.331528,2.440756083,-0.498195499,-1.469475865,0.000000000,40.000000000
1707317354.431583,2.441997528,-0.498290181,-1.470143914,0.000000000,40.000000000
1707317354.531626,2.435955763,-0.504591644,-1.470273614,0.000000000,40.000000000
1707317354.631621,2.426001787,-0.515207171,-1.470604420,0.000000000,40.000000000
1707317354.731702,2.411074877,-0.526473939,-1.468774438,0.000000000,40.000000000
1707317354.831522,2.405311823,-0.531434536,-1.468373179,0.000000000,40.000000000
1707317354.931542,2.406696558,-0.530627072,-1.468661904,0.000000000,40.000000000
1707317355.031586,2.411729097,-0.525078714,-1.468403935,0.000000000,40.000000000
1707317355.131615,2.418854475,-0.517905772,-1.468380094,0.000000000,40.000000000
1707317355.231609,2.431958914,-0.506270468,-1.469114661,0.000000000,40.000000000
1707317355.331810,2.439542770,-0.498602957,-1.469072938,0.000000000,40.000000000
1707317355.431627,2.437489033,-0.500879109,-1.469184041,0.000000000,40.000000000
1707317355.531438,2.428294420,-0.509841740,-1.469068050,0.000000000,40.000000000
1707317355.631373,2.420209169,-0.517576396,-1.468892813,0.000000000,40.000000000
1707317355.731442,2.411326647,-0.524290860,-1.467808723,0.000000000,40.000000000
1707317355.831556,2.409357548,-0.525952637,-1.467655063,0.000000000,40.000000000
1707317355.931294,2.413514853,-0.520832300,-1.467173576,0.000000000,40.000000000
1707317356.031417,2.421092987,-0.514517903,-1.467805505,0.000000000,40.000000000
1707317356.131422,2.427099466,-0.508088052,-1.467593789,0.000000000,40.000000000
1707317356.231431,2.434336662,-0.499703765,-1.467020273,0.000000000,40.000000000
1707317356.331371,2.434663534,-0.499438196,-1.467050791,0.000000000,40.000000000
1707317356.431184,2.429380655,-0.503521085,-1.466450930,0.000000000,40.000000000
1707317356.531117,2.419853449,-0.513319135,-1.466586232,0.000000000,40.000000000
1707317356.631225,2.413418293,-0.518071592,-1.465744972,0.000000000,40.000000000
1707317356.731114,2.409110069,-0.521814287,-1.465462208,0.000000000,40.000000000
1707317356.831151,2.410809517,-0.520857573,-1.465833545,0.000000000,40.000000000
1707317356.931036,2.417313576,-0.513708830,-1.465511203,0.000000000,40.000000000
1707317357.030976,2.421824217,-0.508098304,-1.464961290,0.000000000,40.000000000
1707317357.131044,2.425353765,-0.504545391,-1.464949608,0.000000000,40.000000000
1707317357.231092,2.426850319,-0.501380980,-1.464115620,0.000000000,40.000000000
1707317357.331058,2.423658848,-0.504209876,-1.463934302,0.000000000,40.000000000
1707317357.431153,2.418712378,-0.509562194,-1.464137316,0.000000000,40.000000000
1707317357.531100,2.413284302,-0.514654219,-1.463969231,0.000000000,40.000000000
1707317357.631036,2.410417557,-0.517705858,-1.464061737,0.000000000,40.000000000
1707317357.731234,2.412379742,-0.517857194,-1.465118527,0.000000000,40.000000000
1707317357.830947,2.414499521,-0.515853822,-1.465176702,0.000000000,40.000000000
1707317357.931004,2.419405460,-0.510350585,-1.464878082,0.000000000,40.000000000
1707317358.030935,2.423756361,-0.506413043,-1.465084672,0.000000000,40.000000000
1707317358.130885,2.423887730,-0.504547656,-1.464217782,0.000000000,40.000000000
1707317358.231327,2.422314644,-0.507001460,-1.464658141,0.000000000,40.000000000
1707317358.330814,2.419151306,-0.510720611,-1.464935899,0.000000000,40.000000000
1707317358.431067,2.416016817,-0.512946308,-1.464481592,0.000000000,40.000000000
1707317358.530951,2.413868666,-0.515721440,-1.464794993,0.000000000,40.000000000
1707317358.630821,2.414002180,-0.515794396,-1.464898229,0.000000000,40.000000000
1707317358.730906,2.414836407,-0.515689015,-1.465262651,0.000000000,40.000000000
